sparsity,performance,config_list
0.7,0.11,"[{""op_names"": [""conv1""], ""sparsity"": 0.12604527458210363, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.shortcut.0""], ""sparsity"": 0.14743501544937238, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.shortcut.0""], ""sparsity"": 0.17689337388895449, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.21630219962103805, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.22742303084457177, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.23186173286518053, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.24744419254933464, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.254907540990828, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.26077647543182547, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.2811156926407805, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.3639481245358165, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.3820846822762663, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.45328775859972786, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.4542906943574179, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.5383518696892698, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.5682596592098803, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.7345250175454758, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7480485125416753, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.8020707253248126, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8425311743982592, ""op_types"": [""Conv2d""]}]"
0.7,0.1,"[{""op_names"": [""layer3.0.shortcut.0""], ""sparsity"": 0.0038593367963617032, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.03595160051899175, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.06670168491732269, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.18088964813211247, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.19269069866214836, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.3393933587731209, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.347493162673239, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.3564217829902552, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.4446108937739644, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.46706762424303383, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.5263735912903978, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.5631706145848661, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.5890183489274848, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6171931299640893, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.6588541353667646, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7006850084213626, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.7856797184086922, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8703373616997153, ""op_types"": [""Conv2d""]}]"
0.7,0.1,"[{""op_names"": [""layer2.0.shortcut.0""], ""sparsity"": 0.046813586212676, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.shortcut.0""], ""sparsity"": 0.056395683975921915, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.06548358288381369, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.12788744437531543, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.1509228012067799, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.1609888237753228, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.2538296753662302, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.2739679630825873, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.34763903728839546, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.38106765896162553, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.39133179595801526, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.48155875978862744, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.6147992437416656, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.6550492912161122, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6740297671807313, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.7331569867049381, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7488746038327895, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.7600213140136196, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.7872979842217148, ""op_types"": [""Conv2d""]}]"
0.7,0.1001,"[{""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.08002884590541118, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.15148654902873582, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.1613201363012044, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.21053914733497234, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.22712448448480388, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.23088937671625526, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.2964974638627354, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.34613813841910474, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.42945454483688794, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.520540922275891, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.5317338661071301, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.5653856882613896, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6329645451066469, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.679338175480673, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7215638556678377, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.8137552461838293, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8419973209366365, ""op_types"": [""Conv2d""]}]"
0.7,0.1076,"[{""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.009188144622639689, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.2349058452853998, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.27027202126213873, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.3019831833557943, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.30583626956435717, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.3669054331421348, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.3878811445522528, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.42930433448746685, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.4947326929845012, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.5002434939585986, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.5532395271986924, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.704468294984974, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7060091193913485, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.8333137055293378, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8833327203604787, ""op_types"": [""Conv2d""]}]"
0.7,0.1779,"[{""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.04910644600940157, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.07843677432015979, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.09728366137339009, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.12694192874057317, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.2607703261507445, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.3085770457450035, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.3185231240902345, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.3190017812179137, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.40407623623384736, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.5590362289475858, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.6166291287042597, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6423245463372645, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.6587010397794462, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.674901465330037, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.7377929476615953, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.98278177926221, ""op_types"": [""Conv2d""]}]"
0.7,0.1063,"[{""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.06643419729624642, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.08033950579474793, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.08580682552121591, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.11913580517805013, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.22882313668038326, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.2809935847689956, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.32016253020061486, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.3722260747451292, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.37465498538424447, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.5431054709231293, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.599441077414015, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6719488325339815, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.6855117926373469, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7261883388562337, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.7440960533364823, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9165310479812846, ""op_types"": [""Conv2d""]}]"
0.7,0.1093,"[{""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.023512383882573058, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.02369535510961104, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.03898295160424853, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.10074159584665651, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.1194718133054177, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.20762989318858655, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.23422871365131365, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.23732746556370582, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.3177746847498004, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.42698488645730476, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.48110121326578564, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.5892659211869383, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6331000351963767, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.6468411855253402, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7626388622149988, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.8083791142598037, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8697316030300437, ""op_types"": [""Conv2d""]}]"
0.7,0.1147,"[{""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.03334531477131618, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.054735639561419885, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.11222391773641613, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.14358259588668595, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.16145202565146155, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.1640569402480655, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.1667739129705031, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.21186667048602734, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.24861557924839253, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.40221151829112906, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.4596831910001056, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.5795630944169685, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6053020391877996, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.6613676814579993, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.79565382001861, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.7966750385336622, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8677700271686917, ""op_types"": [""Conv2d""]}]"
0.7,0.1563,"[{""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.030220130457576582, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.05858769209523419, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.06985605448179256, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.08400403499390044, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.shortcut.0""], ""sparsity"": 0.16970206266952806, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.17425210314068962, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.21493534590620114, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.26309505576256004, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.3301664984101994, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.44501680489208956, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.4868466761675374, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.6581105008432243, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.6789878664280675, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.7878848977523952, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.8411850597581944, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.8483040446194169, ""op_types"": [""Conv2d""]}]"
