sparsity,performance,config_list
0.5,0.6952,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.05060613248952166, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.06744250529481441, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.09053127431760657, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.15488532509569844, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16008523902969865, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.18275106076840458, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19026378173377578, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22640266045205082, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.30328239394010564, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3299460220636196, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34566133423277084, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.37220960161585553, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.39149476219328205, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.39580458423618237, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4423892106981466, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5025007023646559, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5775759861202295, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6524952113492541, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.8753,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.0046151393776762825, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.011636028250364663, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.07521430428380693, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10637899034383522, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1119842990193713, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1129078753151503, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1216303428367078, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12281660544599243, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1439874066960178, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.15993703532588752, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.23972774887636095, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2506591207175038, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.30560429764392816, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32379787062198334, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.41957998962963605, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.47565883120413144, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6750504255578282, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7126812121175345, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.7546,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.06288010163009691, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.11539237764486213, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12935463134944208, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14859951799428006, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1547765612369664, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.174224403068007, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2770259325940233, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.29485138677255096, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32889573504582914, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.38831347702145064, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.39980078987462025, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.433007984543504, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.46261799656465724, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5395147043664783, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7772459649188007, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.7299,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.014494874851300204, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.059787953414932614, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.08448131546577764, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.13451635632490502, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.20428568812216286, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22796075735650903, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.29798181685949776, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32932491245581225, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.38079855005248897, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3853849642084572, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4732953931757765, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5733572350097335, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5949993974177709, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.606612911347417, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.8631,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.04792008059989599, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.07077276736156697, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.08298497806983685, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.08845534499231582, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.09574615313944469, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.13915165845850774, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2169589501242179, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2321587301678517, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2424440668554319, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.25586356798167853, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2896439289708066, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2937698603498928, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.29688265426841404, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.33374096536977715, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4998527822165721, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6913199951821355, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6963740279080439, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.8618,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.04382974668230852, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10255285222922034, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1480490374689246, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17050203746092368, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1845890244895466, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19561221603637852, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22139273713017552, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22985759839948122, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2450505128172732, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.26276986425153126, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2830161181058339, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3193087660530278, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34055307224807063, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3405859822265276, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4222177090269492, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.684437547242892, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7520197588391391, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.8593,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.05519483323456589, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.06037784583244952, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.06229187808013635, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.06924413154113032, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.07115129406213687, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.11275199757530761, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1329520948603831, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14674855860983108, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16132320186995544, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16425028507716585, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2521647902965131, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2564910844535024, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2569889837196842, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.33713046661922474, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4051100329584714, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.48567014536382536, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5258898183314519, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6160923105401629, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6438931068467836, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.8828,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.007355336716679801, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.049784468024276406, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10012930512688627, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12561279015503657, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.13272733719164695, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1644798712239388, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17069034940447794, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21072290914311997, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21672192695416545, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.24480436559366847, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2912588632564188, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.30981067769941506, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3554453562021433, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.36443175905794156, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4143730848057218, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6994663752033384, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7440802990174247, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.7863,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.01223569891263243, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.02832017332796539, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.06160818907341155, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1008989101496354, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10675940099560745, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1868972548029092, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19713360815237033, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21960680271092056, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.23116367046067685, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3153856501788198, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.35452497432954505, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3854529652458654, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4059242153613851, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4307807325796048, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4385184189881775, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6072305165733154, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7205285236285924, ""op_names"": [""layer4.1.conv2""]}]"
0.5,0.8615,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.06621128125706573, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.07834908653076259, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.0961478863607584, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10366106300828502, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1375167026153265, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1529595005401691, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.18728823371549097, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22280369406139405, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2243595000673551, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.26380840892226093, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2668006093937228, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.30261414166137013, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.312118147240355, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3566146266895938, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3805499715246412, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.47011430202017584, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6801923184563992, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6811503636244364, ""op_names"": [""layer4.1.conv2""]}]"
