sparsity,performance,config_list
0.6,0.5555,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.08635819443740736, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14884297257177048, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17502622355488953, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22280040274447538, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.24117918089543106, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.24523253363582428, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.29855317166822154, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.313123346167452, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3224581656543079, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.352374499659901, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.37626985907586913, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.42805184667419544, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4599375289561578, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.47906607497178627, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.524115786022924, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.658153951087876, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6857055759371998, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7437204872911088, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.6558,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.05960316131707904, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.11441051884011859, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.13323606809145094, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14144700679327438, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16142914325142468, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17405122922878719, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2027895185679048, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2270125854611641, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2591839423064968, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2638809851761286, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.29252804237620306, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3298341180914286, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3375026446797197, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.35767675209093164, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4015886334004449, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.44926769534471517, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6698595554338423, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.688843299071499, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8579315181391731, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.6859,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.005191371283747302, ""op_names"": [""conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.015413157900017174, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.0633113474862466, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10652667210965627, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.13884213686382982, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14380204913580916, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1463264108878305, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16055023386357742, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.164469200322113, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1661536362430075, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2907643632691875, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.29647256287665735, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3056572384748319, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32826256051234115, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.40782872112445295, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.45733954455631165, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5331231314547589, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6290839544963698, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6728649716394034, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8623236237456545, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.5983,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.06102218042990392, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17822104125219984, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1917279264492609, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19971753146918214, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22800216961716033, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2479693766950119, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2584775792700812, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2595375059759642, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.30702205730629095, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32356960833644516, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.39919995456478846, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4664898013714572, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.49864127521005847, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5038919274805185, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6353534276705831, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7268302667752573, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7599643425117675, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.5233,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.019664369562847783, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.144280745591831, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14954872291408627, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.18118570157909977, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1944708970713704, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2446289372630731, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2467170001888787, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.25956955362568435, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.27763730297679234, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.33720242352967794, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3591520610388163, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.39343441726773054, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4043223167763983, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.47777667601661195, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4880017652644753, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.604758680979368, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6921644472736844, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8465066036475575, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.4654,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.07681420130313021, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.09415906703663346, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.13818087711219237, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19789473483206105, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.23333751644434056, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.253891770992822, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.25462926082768245, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.31053642014124, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32033827129540066, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32566104499569665, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34292452583715227, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3965475530912254, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4104623180174624, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4201156827650688, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4258020165891443, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.46845686068777315, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6241468510361515, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.644558757151583, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8698908916776152, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.3574,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.0743742797985617, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.08566630084880184, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.11781324965944476, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14621944584462612, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17577862278301987, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.18720490494429315, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.23926475665364605, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.28196181041631513, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32510005752104476, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.33126886475895456, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3380944413293982, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34404198119071505, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4078939946038389, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4104204499584757, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5546499072192268, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5648184781370491, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6328272527671376, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6624173343876145, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7775023364555687, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.6614,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.08464562095015678, ""op_names"": [""conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.09446766034100074, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1569690642819864, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17205992308603674, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.18702603585490407, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19085526203891504, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19806379001488275, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2177286346997249, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2591503592504575, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2878279804719413, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2913897741913969, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.31288025484497173, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32874052452977137, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34196267556520027, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.414569337668999, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4177827901609165, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.49844263510098596, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6442535113755186, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6937706077255634, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8248124068926108, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.6739,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.006911537212817102, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.014049856014666223, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12489329582363976, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16921958342928556, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17815504335093474, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.20306736673013503, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.24126271247191597, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2543271439390641, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2653447674244372, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2820760031280886, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3033068865054242, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.31100379216502877, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.31183762831092215, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3344136496320818, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4108537817832329, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4599874380817528, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6145302552778965, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6816253218015524, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.9230310607270007, ""op_names"": [""layer4.1.conv2""]}]"
0.6,0.4841,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.03193739631472888, ""op_names"": [""layer2.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.034857022640352286, ""op_names"": [""layer3.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.07264680014455863, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.118275967562235, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1663757624575095, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.16890256001191675, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17818016673432388, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21104711385459446, ""op_names"": [""layer4.0.shortcut.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2233455763603278, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.24874170783598845, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34324041828830487, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.38135652891307786, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.40346820289008534, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4123823049316267, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4748203171000983, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5194661424451228, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5429809189439986, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.640157959707543, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.9476660529849856, ""op_names"": [""layer4.1.conv2""]}]"
