sparsity,performance,config_list
0.4,0.8619,"[{""sparsity"": 0.026339095331930462, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10404395739881354, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11942136555780541, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.147123636476283, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1786065894708174, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.22293165496005507, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23280759581495075, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2723427717541431, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2749748286682695, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.296975535383588, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.32526207772743665, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.33068642709098556, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3387031578245906, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.38517057840347035, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4598592389895524, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5410494416121954, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8613,"[{""sparsity"": 0.05865389022041843, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09744475591238887, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12470405195282461, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.17804767264202945, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1795772679786125, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.20273839109036532, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.20480248643085838, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.21670904510539293, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.26696172911438515, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.26803121079243925, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.26939204352532664, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3530499389467516, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3742851217037242, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3973281580135412, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4306632764186015, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5618961828569794, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8831,"[{""sparsity"": 0.015329137934717466, ""op_names"": [""layer3.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.05699551119458822, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09805588411071903, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.099543250592738, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1306153382596075, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13784679020643925, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14268855973889488, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15951983113790266, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1692268063450919, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.19735637940132358, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.25910111370895283, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.26124054883746467, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.31550092077477626, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.33351615698661136, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.38216385026891236, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.43125607581805886, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4755339333812781, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.48279269984974893, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8812,"[{""sparsity"": 0.015393863672765563, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.01891988488668332, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08367807018722796, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11585730097944352, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13564960530463802, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1574479766406286, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.17708227677754126, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.19896468582384091, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2183105417176823, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2611376647669888, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2724350270052016, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3227930881796623, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.42132610175325824, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.42695148723767, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4426030416066507, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5240205577767982, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8849,"[{""sparsity"": 0.023905830037654223, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.03971086299803508, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10057148554749841, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12407204781849245, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15549551421984523, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.19503178028701118, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23350147849639305, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23755295627483355, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23889138381214564, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2496925687613369, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.29428793094169375, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3092798337033748, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.33920981598619504, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3931787480895325, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4436283038778511, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5856629436058002, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8972,"[{""sparsity"": 0.006693875152952625, ""op_names"": [""layer2.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.020494133778231834, ""op_names"": [""layer3.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06256745296178719, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08182845937622595, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09839685639010673, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12543734297934678, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13144789999441367, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.133021026021614, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14651858370944817, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15064168054299304, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15539121767787037, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1572126061251782, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1920530451004393, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.27813868840827655, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.33757444863780367, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.39593169343889456, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4138562350675039, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4541161153749593, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.558587633545967, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.879,"[{""sparsity"": 0.006262392029906304, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0482805600152049, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07071650799536754, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1160378115724006, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13784560614585184, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.22308762126098022, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2351921473702859, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23562929886068482, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.25654110784328715, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.25981438104289084, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3757644142306807, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3968913223280546, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4207865041763681, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.463067124337519, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5104133531099136, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8759,"[{""sparsity"": 0.01963109400588177, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07482132544801828, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0898738301274791, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09120350582547826, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09292552505241844, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1826441855361118, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2268321420765799, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23598140622943073, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.25163445702273357, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2626583929292624, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.31320838542837665, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4121783550696247, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4300660917301729, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.46971466539430473, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5089679770307767, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.9086,"[{""sparsity"": 0.006796186251243939, ""op_names"": [""layer3.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.008388784729332289, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.016673710768254024, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.01846673493079857, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.042191883206197545, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07529089582607615, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07948149921276176, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09548473703360327, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10974307167945135, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14227182153343368, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14291157786021377, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1923238570879838, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.21339559956376206, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.29667287830626116, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.32962449918932496, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.41922951808542835, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5316164244826719, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5529218470485217, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.4,0.8913,"[{""sparsity"": 0.08503984390189198, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.08864442433598468, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09630586329345364, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10462143583465158, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11379388818202824, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12506383407471663, ""op_names"": [""layer4.0.shortcut.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12713617592368984, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13034153480109567, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.17905738282403932, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.18142603773108285, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.24919362861729827, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2691290995990525, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.27480104437228425, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.30803540285100084, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.31888575458452373, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5203434874043806, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6341160654202986, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
