sparsity,performance,config_list
0.2,0.9008,"[{""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.002130311681707342}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.008967757383946569}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.02412325516721371}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14731477826970296}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14950158034641797}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.18672397928843365}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20091103469122484}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20432846384631195}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.25954583518082425}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2766482251051089}]"
0.2,0.9128,"[{""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.034009031280178646}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07625731499746913}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08133646115021177}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1137385722036484}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.18372064619966638}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.19534609725030153}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3282696048461085}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.35771313274524913}]"
0.2,0.773,"[{""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07242064856515341}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0895740218945662}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09756522448594387}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10719443090406232}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1241133407573127}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1311294245728266}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14650845116911806}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2170475677211531}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.26894713345599974}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.35442069839687335}]"
0.2,0.7682,"[{""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03731028989018686}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0912629917066542}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09230321037879699}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09253009258621032}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1417253945041643}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17462043211143524}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.21151175535041009}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2173593606579865}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2484171375194293}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.26430373512691857}]"
0.2,0.7398,"[{""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09100741813389826}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09159645672980622}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09786595191401284}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10535310475737766}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.16176479513572575}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.16637290604110883}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1933061716723638}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20785433724366903}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.23924228235244438}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.29142321896733403}]"
0.2,0.8408,"[{""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.047953501561498406}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06793330097311416}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09198578242024787}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1266078304166187}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1751510130384432}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.191765536833962}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1918676649473359}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2178102725899215}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.36115052383687807}]"
0.2,0.906,"[{""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.004348553954675825}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.009595377052426484}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05668318582523593}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06735233049705694}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08691881267768105}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08870054681799817}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14507012803493158}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2574716551406342}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3180351548563049}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3618071816512561}]"
0.2,0.8844,"[{""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.011130184400181852}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.023001201771014144}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09186394581373773}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10548022507858973}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11769861175926177}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1335533235821303}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17499645644060857}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20701781605803896}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2082684483430194}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4114309462309778}]"
0.2,0.85,"[{""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.043471509544464104}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05180411261063783}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08183718992852988}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11588162600493074}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12468942661460472}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13543286790193887}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17070095685170386}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.23368206310388814}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.48573302646879624}]"
0.2,0.7971,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.012305421473006662}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.024315572895982712}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03860019177525123}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07408657651862378}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07891555622081263}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08059047867457866}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08302260332531419}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10508212415249962}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.140438626177637}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14611918374443317}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17922599072446505}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2629883685809137}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.40871696348687175}]"
